pid,price,link,name
B06Y34TKXC,999.00,http://www.amazon.in/KALL-Dual-Mobile-Phone-Combo/dp/B06Y34TKXC,I KALL K66 Dual Sim 4.57 cm (1.8 Inch) Mobile Phone Combo - K66 (White & Red)
B01N29LOL5,"5,699.00",http://www.amazon.in/Intex-Aqua-Supreme-Champagne-16GB/dp/B01N29LOL5,"Intex Aqua Supreme+ (Champagne, 16GB)"
B01N0SI0TB,"8,199.00",http://www.amazon.in/Coolpad-Note5-Lite-3505I-Space/dp/B01N0SI0TB,"Coolpad Note 5 Lite (Space Grey, 3GB RAM + 16 GB)"
B00FXLC9V4,"17,000.00",http://www.amazon.in/Apple-iPhone-5s-Space-Grey/dp/B00FXLC9V4,"Apple iPhone 5s (Space Grey, 16GB)"
B01NAKU37U,"10,999.00",http://www.amazon.in/Mi-Redmi-4-Gold-64GB/dp/B01NAKU37U,"Redmi 4 (Gold, 64GB)"
B01DDP7GZK,,,"Moto G Plus, 4th Gen (Black, 32 GB)"
B01LYLORE6,"13,999.00",http://www.amazon.in/Honor-6X-Gold-64GB/dp/B01LYLORE6,"Honor 6X (Gold, 64GB)"
B01MZ1FD81,"10,999.00",http://www.amazon.in/Coolpad-Cool-Gold-32GB-memory/dp/B01MZ1FD81,"Coolpad Cool 1 (Gold, 3GB RAM + 32GB memory)"
B071YFG5S1,649.00,http://www.amazon.in/K3310-Mobile-Detector-BATTERY-Warranty/dp/B071YFG5S1,I KALL K3310 Dual Sim Mobile With Money Detector Light And BATTERY SAVER Option with 1 Year Warranty- Red
B01DDP85BY,"13,420.00",http://www.amazon.in/Moto-Plus-4th-Gen-White/dp/B01DDP85BY,"Moto G Plus, 4th Gen (White, 32 GB)"
B01FM7J8BC,"11,999.00",http://www.amazon.in/Honor-6X-Gold-32GB/dp/B01FM7J8BC,"Honor 6X (Gold, 32GB)"
B01MQXNY1L,"29,999.00",http://www.amazon.in/Honor-Pro-Black-128GB-Memory/dp/B01MQXNY1L,"Honor 8 Pro (Black, 6GB RAM + 128GB Memory)"
B00NXM5LII,"1,757.00",http://www.amazon.in/Nokia-130-Dual-SIM-Black/dp/B00NXM5LII,"Nokia 130 (Dual SIM, Black)"
B01LXMHNMQ,"24,990.00",http://www.amazon.in/Samsung-Galaxy-Navy-Blue-64GB/dp/B01LXMHNMQ,"Samsung Galaxy C7 Pro (Navy Blue, 64GB)"
B0079JZ4O2,,,Samsung Guru 1200 GT-E1200ZKYINS - Black
B06ZZ4G9ZM,649.00,http://www.amazon.in/K3310-Mobile-Detector-BATTERY-Warranty-Sky/dp/B06ZZ4G9ZM,I KALL K3310 Dual Sim Mobile With Money Detector Light And BATTERY SAVER Option with 1 Year Warranty-Sky blue
B00FXLCG7G,"16,249.00",http://www.amazon.in/Apple-iPhone-5s-Silver-16GB/dp/B00FXLCG7G,"Apple iPhone 5s (Silver, 16GB)"
B071WJNRQG,"5,890.00",http://www.amazon.in/Motorola-Moto-C-XT1755-starry-Black/dp/B071WJNRQG,Motorola Moto C(XT1755-starry Black)
B01FM7HV7K,"10,096.00",http://www.amazon.in/Lenovo-Z2-Plus-Black-32GB/dp/B01FM7HV7K,"Lenovo Z2 Plus (Black, 32GB)"
B01N7JUH7P,"11,999.00",http://www.amazon.in/Moto-G5-3GB-Fine-Gold/dp/B01N7JUH7P,"Moto G5 (3GB, Fine Gold)"
B01LZWINW4,"11,999.00",http://www.amazon.in/Honor-6X-Silver-32GB/dp/B01LZWINW4,"Honor 6X (Silver, 32GB)"
B01FM7HJ3G,"10,999.00",http://www.amazon.in/Coolpad-Note-Space-Grey-32/dp/B01FM7HJ3G,"Coolpad Note 5 (Space Grey, 32 GB)"
B06W57JDWG,"12,090.00",http://www.amazon.in/Samsung-Galaxy-On8-Black-Memory/dp/B06W57JDWG,"Samsung Galaxy On8 (Black, 3 GB RAM + 16 GB Memory)"
B01DDP7GR8,"9,999.00",http://www.amazon.in/Moto-4th-Gen-White-GB/dp/B01DDP7GR8,"Moto G, 4th Gen (White, 2 GB, 16 GB)"
B0721KL86B,"15,249.00",http://www.amazon.in/Honor-Huawei-Lite-Blue-Ready/dp/B0721KL86B,"Honor Huawei Honor 8 Lite 4GB (Blue,64GB, 4G Ready)"
B01F073VWQ,830.00,http://www.amazon.in/Intex-Eco-Beats-Dual-Black-Grey/dp/B01F073VWQ,"Intex Eco Beats (Dual SIM, Black-Grey)"
B01ALFQBJ2,"1,080.00",http://www.amazon.in/Micromax-X605-Black/dp/B01ALFQBJ2,Micromax X605 (Black)
B01LZKSVRB,"48,999.00",http://www.amazon.in/Apple-iPhone-7-Black-32GB/dp/B01LZKSVRB,"Apple iPhone 7 (Black, 32GB)"
B06Y3K2GKQ,"10,090.00",http://www.amazon.in/Samsung-Galaxy-New-2016-Gold/dp/B06Y3K2GKQ,"Samsung Galaxy J5 (New 2016 edition) (Gold, 16 GB)"
B008OPT50Y,"1,200.00",http://www.amazon.in/Samsung-Guru-GT-E1200-Indigo-Blue/dp/B008OPT50Y,Samsung Guru GT-E1200 (Indigo Blue)
B01M0OXV1V,"6,317.00",http://www.amazon.in/Lenovo-A6600-Plus-Black/dp/B01M0OXV1V,Lenovo A6600 Plus (Black)
B073PWKTRS,"17,900.00",http://www.amazon.in/Samsung-Galaxy-J7-Max-Gold/dp/B073PWKTRS,"Samsung Galaxy J7 Max (Gold, 32GB)"
